miRNAID,GeneSymbol
hsa-miR-181d-5p,ZADH2
hsa-miR-181d-5p,DDX3X
hsa-miR-181d-5p,DDX3X
hsa-miR-181d-5p,TMEM94
hsa-miR-181d-5p,RAP1B
hsa-miR-181d-5p,SLC25A37
hsa-miR-181d-5p,DDIT4
hsa-miR-181d-5p,KPNA1
hsa-miR-181d-5p,TNPO1
hsa-miR-181d-5p,DUSP5
hsa-miR-181d-5p,ZFP36L2
hsa-miR-181d-5p,ETS1
hsa-miR-181d-5p,DDX3X
hsa-miR-181d-5p,DDX3X
hsa-miR-181d-5p,TNPO1
hsa-miR-181d-5p,TNPO1
hsa-miR-181d-5p,ARF6
hsa-miR-181d-5p,RAP1B
hsa-miR-181d-5p,TNRC6B
hsa-miR-181d-5p,SLC10A7
hsa-miR-181d-5p,HEPHL1
hsa-miR-181d-5p,ZBTB4
hsa-miR-181d-5p,KRBOX4
hsa-miR-181d-5p,ETS1
hsa-miR-181d-5p,ETS1
hsa-miR-181d-5p,ZNF268
hsa-miR-181d-5p,ZNF268
hsa-miR-181d-5p,ZNF268
hsa-miR-181d-5p,ZNF268
hsa-miR-181d-5p,ZNF268
hsa-miR-181d-5p,FKBP1A
hsa-miR-181d-5p,RAP1B
hsa-miR-181d-5p,RAP1B
hsa-miR-181d-5p,RAP1B
hsa-miR-181d-5p,RAP1B
hsa-miR-182-5p,EVI5
hsa-miR-182-5p,PPM1L
hsa-miR-182-5p,PPM1L
hsa-miR-182-5p,MITF
hsa-miR-182-5p,MITF
hsa-miR-182-5p,MITF
hsa-miR-182-5p,MITF
hsa-miR-182-5p,NUFIP2
hsa-miR-182-5p,EVI5
hsa-miR-182-5p,MITF
hsa-miR-182-5p,EVI5
hsa-miR-182-5p,MITF
hsa-miR-182-5p,FOXF2
hsa-miR-182-5p,MITF
hsa-miR-182-5p,BCL2
hsa-miR-182-5p,MITF
hsa-miR-196a-5p,PPP1R15B
hsa-miR-196a-5p,IGDCC4
hsa-miR-196a-5p,GLTP
hsa-miR-196a-5p,CCDC47
hsa-miR-196a-5p,NAP1L1
hsa-miR-196a-5p,GATA6
hsa-miR-199b-5p,ZNF584
hsa-miR-199b-5p,CSGALNACT1
hsa-miR-199b-5p,CSGALNACT1
hsa-miR-199b-5p,CCNL1
hsa-miR-199b-5p,PODXL
hsa-miR-199b-5p,KIT
hsa-miR-199b-5p,CSGALNACT1
hsa-miR-204-5p,ANKFY1
hsa-miR-204-5p,RUNX2
hsa-miR-204-5p,AP1S1
hsa-miR-204-5p,FARP1
hsa-miR-204-5p,FARP1
hsa-miR-204-5p,TCF4
hsa-miR-204-5p,MBNL1
hsa-miR-204-5p,CREB1
hsa-miR-204-5p,PALM2AKAP2
hsa-miR-204-5p,ZCCHC24
hsa-miR-204-5p,BCL9L
hsa-miR-204-5p,BCL9L
hsa-miR-204-5p,FARP1
hsa-miR-204-5p,BMPR1A
hsa-miR-204-5p,SOX4
hsa-miR-204-5p,AKAP1
hsa-miR-204-5p,BMPR1A
hsa-miR-204-5p,CREB1
hsa-miR-204-5p,JARID2
hsa-miR-204-5p,FARP1
hsa-miR-204-5p,FARP1
hsa-miR-204-5p,FARP1
hsa-miR-204-5p,SERINC3
hsa-miR-204-5p,TPPP
hsa-miR-204-5p,ANGPTL2
hsa-miR-204-5p,ANKFY1
hsa-miR-204-5p,TCF4
hsa-miR-204-5p,ZBTB20
hsa-miR-204-5p,ZBTB20
hsa-miR-204-5p,RUNX2
hsa-miR-204-5p,CREB1
hsa-miR-204-5p,CREB1
hsa-miR-204-5p,BCL9L
hsa-miR-204-5p,MBNL1
hsa-miR-204-5p,ZBTB20
hsa-miR-204-5p,ZBTB20
hsa-miR-204-5p,IGFBP5
hsa-miR-204-5p,PPP3R1
hsa-miR-204-5p,RUNX2
hsa-miR-204-5p,RUNX2
hsa-miR-204-5p,SAMD5
hsa-miR-204-5p,MAPRE2
hsa-miR-204-5p,MAPRE2
hsa-miR-204-5p,ZBTB20
hsa-miR-204-5p,ZBTB20
hsa-miR-204-5p,ZBTB20
hsa-miR-204-5p,ZBTB20
hsa-miR-204-5p,ZBTB20
hsa-miR-204-5p,ZBTB20
hsa-miR-204-5p,ZBTB20
hsa-miR-204-5p,ZBTB20
hsa-miR-204-5p,CCNT2
hsa-miR-204-5p,AKAP1
hsa-miR-204-5p,AKAP1
hsa-miR-204-5p,TCF4
hsa-miR-204-5p,MAPRE2
hsa-miR-205-5p,RUNX2
hsa-miR-205-5p,LRRK2
hsa-miR-205-5p,MMD
hsa-miR-205-5p,LRRK2
hsa-miR-205-5p,ZEB2
hsa-miR-205-5p,CCNJ
hsa-miR-205-5p,LAMC1
hsa-miR-205-5p,CREB1
hsa-miR-205-5p,E2F1
hsa-miR-205-5p,SMAD1
hsa-miR-205-5p,RUNX2
hsa-miR-205-5p,SMAD1
hsa-miR-205-5p,RUNX2
hsa-miR-205-5p,RUNX2
hsa-miR-205-5p,CCNJ
hsa-miR-205-5p,CCNJ
hsa-miR-205-5p,LCOR
hsa-miR-205-5p,LCOR
hsa-miR-205-5p,PICALM
hsa-miR-20b-5p,TTPAL
hsa-miR-20b-5p,TTPAL
hsa-miR-20b-5p,RAP2C
hsa-miR-20b-5p,RAP2C
hsa-miR-20b-5p,CCSER2
hsa-miR-20b-5p,CCSER2
hsa-miR-20b-5p,STX6
hsa-miR-20b-5p,PKNOX1
hsa-miR-20b-5p,ATL3
hsa-miR-20b-5p,ENPP5
hsa-miR-20b-5p,NR2C2
hsa-miR-20b-5p,USP28
hsa-miR-20b-5p,ARL1
hsa-miR-20b-5p,HMGB3
hsa-miR-20b-5p,HMGB3
hsa-miR-20b-5p,AKTIP
hsa-miR-20b-5p,AGO1
hsa-miR-20b-5p,AGO1
hsa-miR-20b-5p,RACGAP1
hsa-miR-20b-5p,RUNX3
hsa-miR-20b-5p,BNIP2
hsa-miR-20b-5p,KLHL15
hsa-miR-20b-5p,KLHL15
hsa-miR-20b-5p,DDHD1
hsa-miR-20b-5p,ANKRD13C
hsa-miR-20b-5p,TRIM8
hsa-miR-20b-5p,DNAL1
hsa-miR-20b-5p,KATNAL1
hsa-miR-20b-5p,PPP1R15B
hsa-miR-20b-5p,PURB
hsa-miR-20b-5p,CCND1
hsa-miR-20b-5p,ANKH
hsa-miR-20b-5p,MXI1
hsa-miR-20b-5p,RORA
hsa-miR-20b-5p,RORA
hsa-miR-20b-5p,BCL2L11
hsa-miR-20b-5p,BCL2L11
hsa-miR-20b-5p,BCL2L11
hsa-miR-20b-5p,BCL2L11
hsa-miR-20b-5p,BCL2L11
hsa-miR-20b-5p,BCL2L11
hsa-miR-20b-5p,NFAT5
hsa-miR-20b-5p,SAMD8
hsa-miR-20b-5p,DENND5B
hsa-miR-20b-5p,ZNF597
hsa-miR-20b-5p,ABHD2
hsa-miR-20b-5p,MTMR3
hsa-miR-20b-5p,PGM2L1
hsa-miR-20b-5p,PGM2L1
hsa-miR-20b-5p,TMEM167A
hsa-miR-20b-5p,NCOA3
hsa-miR-20b-5p,UBXN2A
hsa-miR-20b-5p,POLQ
hsa-miR-20b-5p,DSTYK
hsa-miR-20b-5p,GAB1
hsa-miR-20b-5p,ANKRD13C
hsa-miR-20b-5p,MAPRE3
hsa-miR-20b-5p,PAFAH1B1
hsa-miR-20b-5p,TBC1D17
hsa-miR-20b-5p,MAPRE3
hsa-miR-20b-5p,RACGAP1
hsa-miR-20b-5p,NR2C2
hsa-miR-20b-5p,GAB1
hsa-miR-20b-5p,REST
hsa-miR-20b-5p,AGFG2
hsa-miR-20b-5p,PAFAH1B1
hsa-miR-20b-5p,PAFAH1B1
hsa-miR-20b-5p,ARID4B
hsa-miR-20b-5p,PLEKHM1
hsa-miR-20b-5p,AAK1
hsa-miR-20b-5p,GNB5
hsa-miR-20b-5p,YOD1
hsa-miR-20b-5p,NRIP3
hsa-miR-20b-5p,USP28
hsa-miR-20b-5p,ZNFX1
hsa-miR-20b-5p,MTMR3
hsa-miR-20b-5p,ENPP5
hsa-miR-20b-5p,TTPAL
hsa-miR-20b-5p,PANK3
hsa-miR-20b-5p,E2F5
hsa-miR-20b-5p,ELK4
hsa-miR-20b-5p,GAB1
hsa-miR-20b-5p,PPP6C
hsa-miR-20b-5p,RAB5B
hsa-miR-20b-5p,RORA
hsa-miR-20b-5p,NR2C2
hsa-miR-20b-5p,E2F2
hsa-miR-20b-5p,BNIP2
hsa-miR-20b-5p,DUSP2
hsa-miR-20b-5p,PKNOX1
hsa-miR-20b-5p,VPS26A
hsa-miR-20b-5p,HMGB3
hsa-miR-20b-5p,HMGB3
hsa-miR-20b-5p,CHAF1A
hsa-miR-20b-5p,REST
hsa-miR-20b-5p,REST
hsa-miR-20b-5p,MTF1
hsa-miR-20b-5p,MTF1
hsa-miR-20b-5p,MXI1
hsa-miR-20b-5p,AGFG2
hsa-miR-20b-5p,LASP1
hsa-miR-20b-5p,POLR3G
hsa-miR-20b-5p,BCL2L11
hsa-miR-20b-5p,GNB5
hsa-miR-20b-5p,NFAT5
hsa-miR-20b-5p,MAP3K2
hsa-miR-20b-5p,ZBTB6
hsa-miR-20b-5p,AGO1
hsa-miR-20b-5p,RACGAP1
hsa-miR-20b-5p,WDR37
hsa-miR-20b-5p,OSTM1
hsa-miR-20b-5p,JAK1
hsa-miR-20b-5p,USP28
hsa-miR-20b-5p,SAMD12
hsa-miR-20b-5p,ELAVL2
hsa-miR-20b-5p,ACBD5
hsa-miR-20b-5p,REST
hsa-miR-20b-5p,RGMB
hsa-miR-20b-5p,POLR3G
hsa-miR-20b-5p,POLR3G
hsa-miR-20b-5p,AAK1
hsa-miR-20b-5p,MAP3K2
hsa-miR-20b-5p,MAP3K2
hsa-miR-20b-5p,ELAVL2
hsa-miR-20b-5p,ESR1
hsa-miR-20b-5p,ATXN1
hsa-miR-20b-5p,PAFAH1B1
hsa-miR-20b-5p,LDLR
hsa-miR-20b-5p,REEP3
hsa-miR-20b-5p,MXI1
hsa-miR-20b-5p,AKTIP
hsa-miR-20b-5p,RGMB
hsa-miR-20b-5p,ZNF805
hsa-miR-20b-5p,FBXO48
hsa-miR-20b-5p,VPS26A
hsa-miR-20b-5p,TTPAL
hsa-miR-20b-5p,E2F5
hsa-miR-20b-5p,E2F5
hsa-miR-20b-5p,SAMD12
hsa-miR-20b-5p,NFAT5
hsa-miR-20b-5p,ESR1
hsa-miR-20b-5p,ESR1
hsa-miR-20b-5p,ESR1
hsa-miR-20b-5p,RACGAP1
hsa-miR-20b-5p,ATXN1
hsa-miR-20b-5p,WEE1
hsa-miR-20b-5p,ZNF805
hsa-miR-20b-5p,DDHD1
hsa-miR-20b-5p,DDHD1
hsa-miR-20b-5p,ANKRD33B
hsa-miR-20b-5p,MOSMO
hsa-miR-20b-5p,ELAVL2
hsa-miR-20b-5p,NCOA3
hsa-miR-20b-5p,SAMD8
hsa-miR-20b-5p,ARL1
hsa-miR-20b-5p,LDLR
hsa-miR-20b-5p,LDLR
hsa-miR-20b-5p,LDLR
hsa-miR-20b-5p,LDLR
hsa-miR-20b-5p,DPYSL2
hsa-miR-20b-5p,DNAL1
hsa-miR-20b-5p,BCL2L11
hsa-miR-20b-5p,BCL2L11
hsa-miR-20b-5p,BCL2L11
hsa-miR-20b-5p,BCL2L11
hsa-miR-20b-5p,BCL2L11
hsa-miR-20b-5p,CFL2
hsa-miR-20b-5p,DPYSL2
hsa-miR-20b-5p,RAB5B
hsa-miR-20b-5p,RAB5B
hsa-miR-21-5p,SOX5
hsa-miR-21-5p,SOX5
hsa-miR-21-5p,RALGPS2
hsa-miR-21-5p,RALGPS2
hsa-miR-21-5p,PAN3
hsa-miR-21-5p,GID4
hsa-miR-21-5p,SATB1
hsa-miR-21-5p,NFIA
hsa-miR-21-5p,SOX5
hsa-miR-21-5p,SATB1
hsa-miR-21-5p,SATB1
hsa-miR-212-5p,POGZ
hsa-miR-212-5p,POGZ
hsa-miR-212-5p,AAK1
hsa-miR-212-5p,POGZ
hsa-miR-212-5p,AAK1
hsa-miR-212-5p,TMEM178B
hsa-miR-221-3p,TRPS1
hsa-miR-221-3p,TRPS1
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,NDFIP1
hsa-miR-221-3p,PCDHA3
hsa-miR-221-3p,PCDHAC1
hsa-miR-221-3p,BMF
hsa-miR-221-3p,BRWD1
hsa-miR-221-3p,BCL2L11
hsa-miR-221-3p,BCL2L11
hsa-miR-221-3p,BCL2L11
hsa-miR-221-3p,BCL2L11
hsa-miR-221-3p,BCL2L11
hsa-miR-221-3p,BCL2L11
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,ARID1A
hsa-miR-221-3p,POGZ
hsa-miR-221-3p,UBN2
hsa-miR-221-3p,POGZ
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,ZNF652
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,FBXO28
hsa-miR-221-3p,PANK3
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,ERBB4
hsa-miR-221-3p,ARID1A
hsa-miR-221-3p,BCL2L11
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MAPK10
hsa-miR-221-3p,MIDN
hsa-miR-221-3p,MIDN
hsa-miR-221-3p,ESR1
hsa-miR-221-3p,KIT
hsa-miR-221-3p,BMF
hsa-miR-221-3p,BRWD1
hsa-miR-221-3p,ESR1
hsa-miR-221-3p,ZNF652
hsa-miR-221-3p,STMN1
hsa-miR-221-3p,FMR1
hsa-miR-221-3p,FMR1
hsa-miR-221-3p,FMR1
hsa-miR-221-3p,POGZ
hsa-miR-221-3p,POGZ
hsa-miR-221-3p,BCL2L11
hsa-miR-221-3p,BCL2L11
hsa-miR-221-3p,BCL2L11
hsa-miR-221-3p,BCL2L11
hsa-miR-221-3p,BCL2L11
hsa-miR-222-3p,TRPS1
hsa-miR-222-3p,ZFYVE16
hsa-miR-222-3p,ZFYVE16
hsa-miR-222-3p,UBN2
hsa-miR-222-3p,ZFYVE16
hsa-miR-222-3p,ZNF652
hsa-miR-222-3p,ZFYVE16
hsa-miR-222-3p,ZFYVE16
hsa-miR-222-3p,ZNF652
hsa-miR-222-3p,STOX2
hsa-miR-222-3p,TLE3
hsa-miR-222-3p,HIPK2
hsa-miR-222-3p,PHACTR4
hsa-miR-222-3p,PHACTR4
hsa-miR-222-3p,PANK3
hsa-miR-222-3p,PPP2R2A
hsa-miR-222-3p,TLE3
hsa-miR-222-3p,DCAF7
hsa-miR-222-3p,DCAF7
hsa-miR-222-3p,GNAI3
hsa-miR-222-3p,ESR1
hsa-miR-222-3p,TRPS1
hsa-miR-222-3p,PHACTR4
hsa-miR-222-3p,PHACTR4
hsa-miR-222-3p,ZFYVE16
hsa-miR-222-3p,ZFYVE16
hsa-miR-222-3p,BBC3
hsa-miR-222-3p,ZNF652
hsa-miR-222-3p,PPP2R2A
hsa-miR-224-5p,DIO1
hsa-miR-224-5p,DPYSL2
hsa-miR-224-5p,DIO1
hsa-miR-224-5p,DIO1
hsa-miR-224-5p,DIO1
hsa-miR-31-5p,RDX
hsa-miR-31-5p,RDX
hsa-miR-31-5p,RDX
hsa-miR-31-5p,GNA13
hsa-miR-31-5p,STK40
hsa-miR-31-5p,STK40
hsa-miR-31-5p,STK40
hsa-miR-31-5p,STK40
hsa-miR-31-5p,STK40
hsa-miR-31-5p,STK40
hsa-miR-31-5p,NFAT5
hsa-miR-31-5p,NFAT5
hsa-miR-31-5p,FZD3
hsa-miR-31-5p,SPRED1
hsa-miR-31-5p,SPRED1
hsa-miR-31-5p,NFIC
hsa-miR-31-5p,SLC1A2
hsa-miR-31-5p,SLC1A2
hsa-miR-31-5p,RASA1
hsa-miR-31-5p,SLC1A2
hsa-miR-31-5p,SLC1A2
hsa-miR-31-5p,SLC1A2
hsa-miR-31-5p,SLC1A2
hsa-miR-31-5p,SERTAD2
hsa-miR-31-5p,SATB2
hsa-miR-31-5p,HIF1AN
hsa-miR-31-5p,RASA1
hsa-miR-31-5p,SLC1A2
hsa-miR-31-5p,GNA13
hsa-miR-31-5p,NFAT5
hsa-miR-31-5p,NFAT5
hsa-miR-31-5p,SATB2
hsa-miR-31-5p,SATB2
hsa-miR-31-5p,SATB2
hsa-miR-31-5p,SLC1A2
hsa-miR-31-5p,CCNT1
hsa-miR-31-5p,SLC1A2
hsa-miR-33b-5p,ITGBL1
hsa-miR-33b-5p,ABHD2
hsa-miR-34a-5p,CDK6
hsa-miR-34a-5p,TSN
hsa-miR-34a-5p,ZDHHC16
hsa-miR-34a-5p,PEA15
hsa-miR-34a-5p,FOSL1
hsa-miR-34a-5p,FOSL1
hsa-miR-34a-5p,FOSL1
hsa-miR-34a-5p,FOSL1
hsa-miR-34a-5p,ACSL4
hsa-miR-34a-5p,ACSL4
hsa-miR-34a-5p,FUT8
hsa-miR-34a-5p,ZDHHC16
hsa-miR-34a-5p,POU2F1
hsa-miR-34a-5p,MTMR9
hsa-miR-34a-5p,MTMR9
hsa-miR-34a-5p,ANKS1A
hsa-miR-34a-5p,MTMR9
hsa-miR-34a-5p,MTMR9
hsa-miR-34a-5p,TENT5A
hsa-miR-34a-5p,LRRC40
hsa-miR-34a-5p,TGIF2
hsa-miR-34a-5p,TGIF2
hsa-miR-34a-5p,PPP1R11
hsa-miR-34a-5p,ACSL4
hsa-miR-34a-5p,POU2F1
hsa-miR-34a-5p,FKBP1B
hsa-miR-34a-5p,ACSL4
hsa-miR-34a-5p,TSN
hsa-miR-34a-5p,FOSL1
hsa-miR-34a-5p,FOSL1
hsa-miR-34a-5p,PDGFRA
hsa-miR-34a-5p,RRAS
hsa-miR-34a-5p,SNTB2
hsa-miR-34a-5p,PDXK
hsa-miR-34a-5p,POU2F1
hsa-miR-34a-5p,FUT8
hsa-miR-34a-5p,PODXL
hsa-miR-34a-5p,PEG10
hsa-miR-34a-5p,PEG10
hsa-miR-34a-5p,E2F5
hsa-miR-34a-5p,CDK6
hsa-miR-34a-5p,STX1A
hsa-miR-34a-5p,LEF1
hsa-miR-34a-5p,PEG10
hsa-miR-34a-5p,PEG10
hsa-miR-34a-5p,PEG10
hsa-miR-34a-5p,PEG10
hsa-miR-34a-5p,POU2F1
hsa-miR-34a-5p,POU2F1
hsa-miR-34a-5p,TGIF2
hsa-miR-34a-5p,TGIF2
hsa-miR-34a-5p,TGIF2
hsa-miR-34a-5p,TGIF2
hsa-miR-363-3p,DUS2
hsa-miR-363-3p,DUS2
hsa-miR-363-3p,RRN3
hsa-miR-363-3p,AURKA
hsa-miR-363-3p,NUP43
hsa-miR-363-3p,SPRYD4
hsa-miR-363-3p,LHFPL2
hsa-miR-363-3p,PHLPP2
hsa-miR-363-3p,ESRP1
hsa-miR-363-3p,DUS2
hsa-miR-363-3p,SLC25A36
hsa-miR-363-3p,RRN3
hsa-miR-363-3p,NUFIP2
hsa-miR-363-3p,NUFIP2
hsa-miR-363-3p,SOX11
hsa-miR-363-3p,KIF5B
hsa-miR-363-3p,KCNC4
hsa-miR-363-3p,LHFPL2
hsa-miR-363-3p,ITPRID2
hsa-miR-363-3p,KCNC4
hsa-miR-363-3p,ESRP1
hsa-miR-363-3p,KCNC4
hsa-miR-363-3p,SLC25A36
hsa-miR-363-3p,ESRP1
hsa-miR-363-3p,ESRP1
hsa-miR-363-3p,ESRP1
hsa-miR-486-5p,CADM1
hsa-miR-486-5p,CADM1
hsa-miR-486-5p,CADM1
hsa-miR-486-5p,CADM1
hsa-miR-486-5p,PIK3R1
hsa-miR-486-5p,PIK3R1
hsa-miR-486-5p,PIK3R1
hsa-miR-486-5p,CADM1
hsa-miR-486-5p,HAT1
hsa-miR-486-5p,SMAD2
hsa-miR-486-5p,SMAD2
hsa-miR-486-5p,CADM1
hsa-miR-486-5p,SMAD2
hsa-miR-503-5p,C1orf21
hsa-miR-503-5p,YTHDC1
hsa-miR-503-5p,UHMK1
hsa-miR-503-5p,ZMAT3
hsa-miR-503-5p,ZNF449
hsa-miR-503-5p,UHMK1
hsa-miR-503-5p,SESTD1
hsa-miR-503-5p,RNF41
hsa-miR-503-5p,CDCA4
hsa-miR-503-5p,NUFIP2
hsa-miR-503-5p,FGF2
hsa-miR-503-5p,WEE1
hsa-miR-503-5p,WEE1
hsa-miR-503-5p,PRDM4
hsa-miR-503-5p,TLL1
hsa-miR-503-5p,YTHDC1
hsa-miR-503-5p,FGF2
hsa-miR-503-5p,WEE1
hsa-miR-503-5p,UHMK1
